date,city,temperature_celsius,humidity_percent,wind_speed_kph,weather_condition,temperature_fahrenheit
2023-01-01,New York,5.0,60.0,10.0,Sunny,41.0
2023-01-02,New York,7.89,65.0,12.0,Cloudy,46.2
2023-01-03,New York,7.0,60.0,8.0,Rainy,44.6
2023-01-02,London,6.0,75.0,20.0,Snowy,42.8
2023-01-03,London,10.19,80.0,18.0,Cloudy,50.34
2023-01-01,Tokyo,10.0,50.0,5.0,Sunny,50.0
2023-01-02,Tokyo,12.0,55.0,6.0,Cloudy,53.6
2023-01-25,New York,7.89,51.0,20.3,Sunny,46.2
2023-07-01,New York,7.89,60.0,17.9,Snowy,46.2
2023-01-15,London,10.19,56.0,14.02,Rainy,50.34
2023-01-12,Tokyo,6.91,61.0,11.83,Rainy,44.44
2023-01-25,Tokyo,6.2,54.5,27.1,Rainy,43.16
2023-01-17,Tokyo,19.3,43.0,11.83,Rainy,66.74
2023-01-05,London,10.19,60.0,14.02,Rainy,50.34
2023-01-16,New York,7.89,60.0,14.1,Rainy,46.2
2023-01-26,Tokyo,-2.7,54.5,11.83,Rainy,27.14
2023-01-18,Tokyo,6.91,55.0,2.2,Cloudy,44.44
2023-01-25,New York,12.9,60.0,5.7,Sunny,55.22
2023-01-07,London,10.19,72.0,8.1,Sunny,50.34
2023-01-17,New York,7.89,61.0,25.1,Rainy,46.2
2023-01-29,Tokyo,10.2,54.5,11.83,Cloudy,50.36
2023-01-21,Tokyo,6.91,44.0,3.5,Rainy,44.44
2023-01-21,Tokyo,3.4,49.0,3.5,Snowy,38.12
2023-01-10,London,10.19,46.0,14.02,Rainy,50.34
2023-01-12,New York,7.89,60.0,2.3,Sunny,46.2
2023-01-22,New York,13.4,60.0,14.1,Snowy,56.12
2023-01-29,New York,3.4,60.0,14.1,Snowy,38.12
2023-01-21,Tokyo,6.91,88.0,11.83,Cloudy,44.44
2023-01-27,London,18.1,59.0,1.0,Snowy,64.58
2023-01-29,New York,9.3,60.0,26.1,Cloudy,48.74
2023-01-04,Tokyo,6.91,76.0,6.4,Snowy,44.44
2023-01-15,New York,12.2,60.0,16.5,Rainy,53.96
2023-05-01,London,10.19,72.0,14.02,Rainy,50.34
2023-01-16,Tokyo,5.8,54.5,11.83,Rainy,42.44
2023-01-27,New York,7.89,60.0,17.4,Rainy,46.2
2023-01-14,Tokyo,6.91,30.0,12.7,Cloudy,44.44
2023-01-16,Tokyo,-3.7,60.0,11.83,Rainy,25.34
2023-01-24,New York,4.8,76.0,14.1,Rainy,40.64
2023-01-10,New York,7.89,88.0,0.8,Cloudy,46.2
2023-01-05,Tokyo,-1.7,54.5,23.0,Cloudy,28.94
2023-01-06,London,10.19,85.0,9.3,Rainy,50.34
2023-01-25,London,10.19,72.0,29.9,Cloudy,50.34
2023-01-01,London,10.19,72.0,14.02,Rainy,50.34
2023-01-09,London,10.19,72.0,14.02,Rainy,50.34
2023-01-11,Tokyo,6.91,54.5,11.83,Sunny,44.44
